sito_pers_1,cognome_nome,twitter_1,sigla_partito,facebook_1,id_deputato
,PAXIA Maria Laura,,M5S,,307122
,PATERNOSTER Paolo,,LEGA,,307576
http://www.cristinapatelli.it/,PATELLI Cristina,,LEGA,https://www.facebook.com/patelli.cristina,307522
http://www.claudio-pedrazzini.it,PEDRAZZINI Claudio,https://twitter.com/Pedrazzini_,FI,https://www.facebook.com/Pedrazzini74/,307662
http://www.lucapastorino.net,PASTORINO Luca,https://twitter.com/lucapasto71,LEU,https://www.facebook.com/pastorino.l/,305733
,PAROLO Ugo,,LEGA,,50123
http://www.tulliopatassini.it,PATASSINI Tullio,,LEGA,https://www.facebook.com/tulliopatassiniofficial,307128
http://www.paoloparentela.it,PARENTELA Paolo,,M5S,https://www.facebook.com/M5S.PaoloParentela,306124
,PARISSE Martina,,M5S,,307181
,PAOLINI Luca Rodolfo,,LEGA,,302995
,PAPIRO Antonella,,M5S,,307408
,PANIZZUT Massimiliano,,LEGA,,307376
,PALMISANO Valentina,,M5S,https://www.facebook.com/ValentinaPalmisanoM5S,307338
http://www.antoniopalmieri.it,PALMIERI Antonio,https://twitter.com/antoniopalmieri,FI,https://www.facebook.com/palmieriantonio,300453
,PAITA Raffaella,https://mobile.twitter.com/raffaellapaita,PD,https://www.facebook.com/raffaella.paita/,307535
,PALAZZOTTO Erasmo,https://twitter.com/epalazzotto,LEU,https://it-it.facebook.com/erasmopalazz/,306304
http://www.mariapallini.it,PALLINI Maria,https://twitter.com/maria_pallini,M5S,https://www.facebook.com/MariaPalliniM5S,307547
,PADOAN Pietro Carlo,,PD,,306641
,PAGANO Ubaldo,,PD,,307304
http://www.alessandropagano.it,PAGANO Alessandro,,LEGA,,302964
http://www.albertopagani.eu,PAGANI Alberto,,PD,,305866
http://www.osnato.it/,OSNATO Marco,https://twitter.com/marcoosnato,FDI,https://www.facebook.com/onorevolemarcoosnato/,307612
http://www.annalauraorrico.it,ORRICO Anna Laura,https://twitter.com/annalauraorrico,M5S,https://www.facebook.com/AnnaLauraOrricoM5S,307564
,ORSINI Andrea,,FI,,300299
http://www.andreaorlando.info/andrea-orlando/,ORLANDO Andrea,https://twitter.com/andreaorlandosp,PD,https://it-it.facebook.com/andreaorlandosp/,301463
,OCCHIONERO Giuseppina,,LEU,,307281
http://www.orfini.it,ORFINI Matteo,https://twitter.com/orfini,PD,https://www.facebook.com/orfinimatteo/,305815
http://www.robertoocchiuto.it,OCCHIUTO Roberto,https://twitter.com/robertoocchiuto,FI,https://www.facebook.com/rbocchiuto,302969
,NOJA Lisa,,PD,https://www.facebook.com/LisaNojaPD,307676
http://www.lucianonobili.it,NOBILI Luciano,https://twitter.com/lucianonobili,PD,https://www.facebook.com/luciano.nobili,307449
,OLGIATI Riccardo,https://twitter.com/rickyolgiati,M5S,https://www.facebook.com/riccardolgiati,307674
,NITTI Michele,,M5S,,307363
,NEVI Raffaele,https://twitter.com/raffaelenevi,FI,,307454
http://www.dalilanesci.it,NESCI Dalila,,M5S,https://www.facebook.com/nescidalila,306109
,NAVARRA Pietro,,PD,,307410
,NAPPI Silvana,,M5S,,307213
,NARDI Martina,,PD,,306193
,NANNI Iolanda,,M5S,,307649
,NAPOLI Osvaldo,https://twitter.com/osvaldo_napoli_,FI,https://www.facebook.com/osvnapoli,300387
,MURONI Rossella,https://twitter.com/RossellaMuroni,LEU,https://it-it.facebook.com/rossmuroni/,307296
http://WWW.ROMINAMURA.IT,MURA Romina,,PD,,306053
,MURELLI Elena,,LEGA,https://www.facebook.com/ElenaMurelli75,307336
,MOSCHIONI Daniele,,LEGA,,307137
,MULE' Giorgio,https://twitter.com/giorgiomule,FI,https://www.facebook.com/giorgio.mule.7,307130
,MUGNAI Stefano,https://twitter.com/stefano_mugnai,FI,,307260
,MORGONI Mario,,PD,https://it-it.facebook.com/Senatore-Mario-Morgoni-525898320765111/,306445
,MORRONE Jacopo,,LEGA,https://www.facebook.com/MorroneJacopo,307300
http://www.saramoretto.it,MORETTO Sara,https://twitter.com/sara_moretto,PD,https://www.facebook.com/SaraMorettoPd,305660
,MORELLI Alessandro,,LEGA,,307668
http://www.mattiamor.it,MOR Mattia,,PD,https://www.facebook.com/mormattia,307647
,MORANI Alessia,https://mobile.twitter.com/alessiamorani,PD,https://www.facebook.com/alessiamoranipd,305780
,MORASSUT Roberto,https://twitter.com/rmorassut,PD,https://it-it.facebook.com/robertomorassut,302794
,MOLTENI Nicola,https://twitter.com/nicolamolteni,LEGA,https://it-it.facebook.com/deputatonicolamolteni,302762
http://www.mollicone.it,MOLLICONE Federico,https://twitter.com/fmollicone,FDI,https://it-it.facebook.com/federicomollicone.it/,307424
,MONTARULI Augusta,,FDI,,307464
,MISITI Carmelo Massimo,https://twitter.com/massimomisiti,M5S,https://it-it.facebook.com/massimomisiti2018/,307562
,MINNITI Marco,,PD,,300146
http://www.riccardomolinari.com,MOLINARI Riccardo,,LEGA,https://www.facebook.com/RiccardoMolinariOfficial,307507
http://www.ninominardo.it,MINARDO Antonino,,FI,,302913
,MILANATO Lorena,,FI,,300296
,MIGLIORINO Luca,,M5S,,307272
http://www.salvatoremicillo.com,MICILLO Salvatore,https://twitter.com/micillom5s,M5S,https://www.facebook.com/micillosalvatore,305894
,MICELI Carmelo,,PD,,307384
http://www.gennaromigliore.it,MIGLIORE Gennaro,https://twitter.com/gennaromigliore,PD,https://www.facebook.com/gennaromig,302164
,MENGA Rosa,,M5S,https://it-it.facebook.com/rosamenga.m5s/,307372
http://www.giorgiameloni.com,MELONI Giorgia,https://twitter.com/GiorgiaMeloni,FDI,https://www.facebook.com/giorgiameloni.paginaufficiale/,302103
,MELILLI Fabio,,PD,https://www.facebook.com/fabio.melilli.1,305725
,MAZZETTI Erica,,FI,,307248
http://www.alessandromelicchio.it/,MELICCHIO Alessandro,https://twitter.com/AlexMelicchio,M5S,https://it-it.facebook.com/alexmelicchio/,307724
,MATURI Filippo,,LEGA,https://it-it.facebook.com/filippo.maturi/,307470
http://www.matteomauri.it,MAURI Matteo,,PD,,306176
,MASI Angela,,M5S,,307354
,MASCHIO Ciro,,FDI,https://www.facebook.com/ciro.maschio,307575
http://www.mariamarzana.it,MARZANA Maria,https://www.twitter.com/@maria_marzana,M5S,https://www.facebook.com/mariamarzana5stelle,306080
,MARTINO Antonio,,FI,,307230
http://www.mauriziomartina.it,MARTINA Maurizio,,PD,,306551
,MARROCCO Patrizia,,FI,,307466
,MARINO Bernardo,,M5S,,307110
,MARTINCIGLIO Vita,,M5S,,307120
,MARIANI Felice,,M5S,,307428
,MARCHETTI Riccardo Augusto,,LEGA,https://www.facebook.com/RiccardoAugustoMarchetti.lega,307453
,MARIN Marco,,FI,,306432
http://www.luigimarattin.com,MARATTIN Luigi,https://twitter.com/marattin,PD,https://www.facebook.com/LuigiMarattinPD/,307328
,MANZO Teresa,https://twitter.com/terry_manzo,M5S,,307212
http://www.generosomaraia.it,MARAIA Generoso,,M5S,https://www.facebook.com/generosomaraia,307515
,MANIERO Alvise,,M5S,,307706
,MANZATO Franco,,LEGA,,307700
http://andrea-mandelli.it/,MANDELLI Andrea,https://twitter.com/mandelli_andrea,FI,https://www.facebook.com/andrea.mandelli.161,306430
,MANCINI Claudio,,PD,,307481
,MAMMI' Stefania,,M5S,,307672
,MANCA Gavino,,PD,,307229
,MAGLIONE Pasquale,https://twitter.com/maglione5stelle,M5S,https://www.facebook.com/pasqualemaglioneairola,307549
,MANCA Alberto,,M5S,https://www.facebook.com/AlbertoMancaM5S/,307225
,MAGI Riccardo,https://twitter.com/riccardomagi,MISTO,https://it-it.facebook.com/RiccardoMagiRadicali/,307436
,MAGGIONI Marco,,LEGA,,304601
http://www.elenalucchini.it/,LUCCHINI Elena,,LEGA,https://it-it.facebook.com/ElenaLucchiniOfficial/,307656
,LUCASELLI Ylenja,,FDI,,307340
http://WWW.MARIANNAMADIA.IT,MADIA Maria Anna,,PD,,302789
,LUPI Maurizio,https://twitter.com/maurizio_lupi,MISTO,https://www.facebook.com/mauriziolupi.it,300447
,MACINA Anna,,M5S,,307369
,LOVECCHIO Giorgio,https://twitter.com/giorgiolovecc,M5S,https://www.facebook.com/giorgiolovecchiom5s/,307356
,LOTTI Luca,,PD,,306128
http://www.albertolosacco.it,LOSACCO Alberto,https://twitter.com/albertolosacco,PD,https://www.facebook.com/alberto.losacco,302891
,LORENZONI Gabriele,,M5S,https://www.facebook.com/gabrielelorenzonim5s,307483
,LORENZIN Beatrice,,MISTO,,302783
,LO MONTE Carmelo,,LEGA,,301477
,LORENZONI Eva,,LEGA,,307614
,LONGO Fausto,,MISTO,,306425
,LOREFICE Marialucia,,M5S,,306082
,LOMBARDO Antonio,,M5S,https://www.facebook.com/antoniolombardo82,307390
,LOLLOBRIGIDA Francesco,,FDI,,307463
,LOLINI Mario,,LEGA,,307145
,LOCATELLI Alessandra,,LEGA,,307622
,LIUNI Marzio,,LEGA,,307525
,LICATINI Caterina,,M5S,https://it-it.facebook.com/CaterinaLicatini79/,307392
http://www.mirellaliuzzi.it,LIUZZI Mirella,https://twitter.com/mirellaliuzzi,M5S,https://www.facebook.com/mirellaliuzzim5s,305982
,LIBRANDI Gianfranco,,PD,,306220
,LEGNAIOLI Donatella,,LEGA,,307262
http://www.stefanolepri.it,LEPRI Stefano,,PD,,306420
,LAZZARINI Arianna,,LEGA,https://www.facebook.com/lazzarini.sindaco,307570
,LATTANZIO Paolo,,M5S,,307287
http://www.giorgialatini.it,LATINI Giorgia,https://twitter.com/latinigiorgia,LEGA,https://www.facebook.com/LatiniGiorgia/,307173
http://www.francescalamarca.com,LA MARCA Francesca,https://twitter.com/FrancescaLaMar,PD,https://www.facebook.com/lamarcaf,306253
,LAPIA Mara,,M5S,,307107
,LACARRA Marco,,PD,,307308
,LABRIOLA Vincenza,,FI,,305872
,INVERNIZZI Cristian,https://twitter.com/cristianinve,LEGA,https://www.facebook.com/cristian.invernizzi.33,305503
,INVIDIA Niccolo',,M5S,https://it-it.facebook.com/InvidiaNiccolo5s/,307624
http://www.giuseppelabbate.it,L'ABBATE Giuseppe,https://twitter.com/baffone5stelle,M5S,https://www.facebook.com/GiuseppeLAbbateCittadinoA5Stelle,305842
,IORIO Marianna,,M5S,,307555
,INCERTI Antonella,,PD,,305702
,IANARO Angela,,M5S,,307514
,IEZZI Igor Giancarlo,https://twitter.com/igoriezzi,LEGA,https://it-it.facebook.com/IGOR-IEZZI-154745241255300/,307641
,GUIDESI Guido,,LEGA,,306582
,GUBITOSA Michele,,M5S,https://it-it.facebook.com/michelegubitosam5s/,307531
,GRIPPA Carmela,,M5S,https://www.facebook.com/CarmelaGrippaM5s,307232
,GUERINI Lorenzo,,PD,,305624
